'Assignment group','Business service',Category,Company,'Created Time','Created by','Has Parent',Impact,'Major Problem','Opened by',Priority,Type,Urgency
Other,Network,Hardware,'FedEx Ground',night,ID5285658,True,3,False,'Shafi Ahmed',5,Other,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Computer,Hardware,'FedEx Ground',evening,Other,True,3,True,'Marconius Donahue',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Network,Hardware,Other,morning,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
Other,Computer,Hardware,'FedEx Services',morning,ID5285658,True,3,True,'Shafi Ahmed',5,Standard,3
FXS_WASDRATINGTRACKING,Server,Hardware,'FedEx Services',evening,Other,True,2,True,'Anjali Sharma',3,ITCC,2
FXS_EIS_GLB_ProblemMgmt,'Communication Device',Hardware,'FedEx Express',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',evening,ID3667964,True,2,True,'DZundra Green',4,ITCC,3
Other,Scanner,Hardware,'FedEx Ground',night,ID5285658,True,3,True,'Shafi Ahmed',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',evening,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
FXS_SDESK_GLB_ProblemMgmt,'Communication Device','Inquiry / Help',Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Database,'Inquiry / Help','FedEx Express',afternoon,ID5285658,True,3,True,'Shafi Ahmed',4,ITCC,2
FXS_SDESK_GLB_ProblemMgmt,'Communication Device','Inquiry / Help',Other,afternoon,Other,False,3,False,Other,5,Standard,3
FXS_SDESK_GLB_ProblemMgmt,Network,'Inquiry / Help',Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Proactive,3
Other,Server,'Inquiry / Help','FedEx Services',afternoon,Other,True,3,True,'Anjali Sharma',5,ITCC,3
Other,Network,'Inquiry / Help','FedEx Services',evening,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Mainframe,'Inquiry / Help','FedEx Services',morning,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,'Inquiry / Help','FedEx Services',morning,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
Other,Network,'Inquiry / Help',Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
Other,Other,'Inquiry / Help',Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
Other,Database,'Inquiry / Help','FedEx Ground',morning,ID973921,True,3,True,'Stephen Barch',4,ITCC,2
Other,Network,'Inquiry / Help',Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
Other,Computer,'Inquiry / Help','FedEx Freight Inc.',afternoon,ID836059,True,3,True,'Khouri Mitchell',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,'Inquiry / Help',Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',4,Standard,3
Other,Network,'Inquiry / Help',Other,morning,Other,False,3,False,Other,5,Standard,3
Other,Server,'Inquiry / Help','FedEx Express',night,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
Other,Network,'Inquiry / Help',Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Proactive,3
FXO_SDESK_GLB_ProblemMgmt,Network,'Inquiry / Help',Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Database,'Inquiry / Help','FedEx Services',afternoon,Other,True,3,True,'Anjali Sharma',5,ITCC,3
Other,Network,'Inquiry / Help',Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,'Communication Device','Inquiry / Help',Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Server,'Inquiry / Help','FedEx Services',afternoon,Other,True,3,True,'Anjali Sharma',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,'Inquiry / Help','FedEx Services',afternoon,Other,True,3,True,'Anjali Sharma',4,ITCC,2
FXS_SDESK_GLB_ProblemMgmt,Computer,'Inquiry / Help',Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Scanner,'Inquiry / Help',Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
Other,Server,'Inquiry / Help','FedEx Services',morning,ID847287,True,3,True,'Logan Simmons',4,ITCC,2
FXS_SDESK_GLB_ProblemMgmt,Computer,'Inquiry / Help',Other,afternoon,ID5069733,False,1,False,'Admin-Arturo Reyes',3,Standard,3
Other,'Communication Device','Inquiry / Help','FedEx Office',morning,ID847287,True,3,True,'Logan Simmons',5,ITCC,3
Other,Network,'Inquiry / Help','FedEx Services',evening,Other,True,3,True,'Marconius Donahue',4,ITCC,2
FXO_BR_US_BusinessReadiness,Other,'Inquiry / Help',Other,morning,Other,False,2,False,'Matthew Gonderinger',3,Standard,2
Other,Network,'Inquiry / Help',Other,afternoon,ID5069733,False,1,False,'Admin-Arturo Reyes',1,Proactive,1
Other,Network,'Inquiry / Help',Other,morning,Other,False,3,False,Other,5,Standard,3
Other,Server,'Inquiry / Help','FedEx Services',morning,ID836059,True,3,False,'Khouri Mitchell',5,ITCC,3
FXS_SDESK_GLB_ProblemMgmt,'Communication Device','Inquiry / Help',Other,afternoon,ID5069733,False,1,False,'Admin-Arturo Reyes',3,Proactive,3
Other,Server,'Inquiry / Help','FedEx Services',afternoon,Other,True,3,True,'Anjali Sharma',3,ITCC,1
Other,Network,'Inquiry / Help',Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
Other,Server,'Inquiry / Help','FedEx Services',evening,Other,True,3,True,'Anjali Sharma',5,ITCC,3
FXS_WASDRATINGTRACKING,Server,'Inquiry / Help','FedEx Services',evening,Other,True,3,True,'Anjali Sharma',5,ITCC,3
Other,Network,'Inquiry / Help',Other,morning,Other,False,3,False,Other,5,Proactive,3
Other,Computer,Security,'FedEx Services',morning,ID836059,True,3,True,'Khouri Mitchell',5,ITCC,3
Other,'Communication Device',Security,'FedEx Services',morning,Other,True,3,True,'Nivedita Roy',4,ITCC,2
Other,Server,Security,'FedEx Services',morning,ID973921,True,2,True,'Stephen Barch',3,ITCC,2
Other,Server,Security,'FedEx Express',afternoon,ID5285658,True,2,True,'Shafi Ahmed',3,ITCC,2
Other,Computer,Security,'FedEx Freight Inc.',afternoon,ID3667964,True,2,True,'DZundra Green',3,ITCC,2
Other,Scanner,Security,'FedEx Services',morning,Other,True,2,True,'David Light',3,ITCC,2
Other,Network,Security,'FedEx Services',morning,ID847287,True,2,True,'Logan Simmons',3,ITCC,2
Other,Server,Security,'FedEx Services',afternoon,ID5163721,True,3,True,'Divakar Durgapal',4,ITCC,2
Other,Server,Security,'FedEx Services',evening,ID3667964,True,3,True,'DZundra Green',4,ITCC,2
Other,Database,Security,'FedEx Express',evening,ID3667964,True,3,True,'DZundra Green',3,ITCC,1
FXO_SDESK_GLB_ProblemMgmt,Computer,Security,Other,afternoon,Other,False,3,False,'Greg Malek',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Network,Security,'FedEx Services',afternoon,ID836059,True,3,True,'Khouri Mitchell',5,ITCC,3
Other,Network,Security,'FedEx Services',afternoon,ID5285658,True,3,True,'Shafi Ahmed',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Server,Security,Other,night,ID3667964,True,2,True,'DZundra Green',3,ITCC,2
Other,Other,Environment,'FedEx Services',evening,ID3667964,True,2,True,'DZundra Green',4,ITCC,3
Other,Server,Environment,Other,afternoon,Other,False,3,False,Other,5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Other,Environment,'FedEx Services',afternoon,Other,True,3,True,'Mandeep Khati',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Environment,'FedEx Services',evening,Other,True,3,True,'Marconius Donahue',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Environment,'FedEx Services',afternoon,ID836059,True,3,True,'Khouri Mitchell',5,ITCC,3
Other,Other,Environment,'FedEx Services',evening,Other,True,2,True,'Marconius Donahue',2,ITCC,1
FXS_EIS_GLB_ProblemMgmt,Other,Environment,'FedEx Services',afternoon,ID847287,True,3,True,'Logan Simmons',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',morning,Other,True,3,True,'Nivedita Roy',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Express',morning,Other,True,3,False,'David Light',5,ITCC,3
Other,Other,Network,'FedEx Services',night,Other,True,3,True,'Nivedita Roy',4,ITCC,2
Other,Server,Network,'FedEx Services',night,Other,True,3,True,'Sandrina Khongjee',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Network,Other,night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
Other,Other,Network,'FedEx Services',night,ID5163721,True,2,True,'Divakar Durgapal',4,ITCC,3
Other,Network,Network,'FedEx Services',afternoon,ID836059,True,3,True,'Khouri Mitchell',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',afternoon,ID5305519,True,2,True,'Ashish Bisht',3,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Express',morning,Other,True,3,True,'Mandeep Khati',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Express',night,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',afternoon,Other,True,3,True,'Marconius Donahue',5,ITCC,3
Other,Network,Network,'FedEx Services',afternoon,ID5305519,True,3,False,'Ashish Bisht',5,ITCC,3
Other,Scanner,Network,Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
Other,Other,Network,'FedEx Services',afternoon,ID5305519,True,3,True,'Ashish Bisht',4,ITCC,2
Other,Server,Network,'FedEx Express',evening,ID3667964,True,3,True,'DZundra Green',3,ITCC,1
Other,Other,Network,Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',night,ID3667964,True,3,True,'DZundra Green',3,ITCC,1
Other,Computer,Network,'FedEx Freight Inc.',night,ID3667964,True,2,True,'DZundra Green',4,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,Other,night,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Office',morning,ID847287,True,3,True,'Logan Simmons',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',night,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Network,Network,'FedEx Services',evening,Other,True,3,True,'Sandrina Khongjee',5,ITCC,3
Other,Other,Network,'FedEx Services',night,Other,True,1,True,'Anjali Sharma',3,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Freight Inc.',evening,ID3667964,True,3,True,'DZundra Green',3,ITCC,1
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',afternoon,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
Other,Server,Network,'FedEx Services',afternoon,Other,True,3,True,'Nivedita Roy',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',night,Other,True,3,True,'Sandrina Khongjee',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',morning,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',night,Other,True,3,True,'Sandrina Khongjee',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',morning,Other,True,3,True,'Mandeep Khati',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',night,ID3667964,True,3,True,'DZundra Green',3,ITCC,1
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',morning,Other,True,3,True,'Herman Holeyfield',5,ITCC,3
Other,Other,Network,'FedEx Express',evening,ID3667964,True,2,True,'DZundra Green',3,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',night,ID3667964,True,3,True,'DZundra Green',3,ITCC,1
Other,'Communication Device',Network,'FedEx Freight Inc.',morning,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
Other,Other,Network,'FedEx Services',morning,ID836059,True,1,True,'Khouri Mitchell',2,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',morning,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
Other,Other,Network,'FedEx Ground',night,Other,True,3,False,'Sandrina Khongjee',5,Other,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',night,ID5305519,True,3,True,'Ashish Bisht',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',evening,ID5305519,True,2,True,'Ashish Bisht',3,ITCC,2
Other,'Communication Device',Network,'FedEx Express',night,ID5285658,True,3,True,'Shafi Ahmed',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',afternoon,ID3667964,True,2,False,'DZundra Green',3,ITCC,2
Other,Server,Network,'FedEx Services',afternoon,Other,True,3,True,'Mandeep Khati',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',morning,Other,True,3,True,'Nivedita Roy',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Ground',afternoon,ID5305519,True,3,True,'Ashish Bisht',5,ITCC,3
Other,Computer,Network,'FedEx Services',afternoon,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
Other,Server,Network,'FedEx Services',evening,ID5305519,True,2,True,'Ashish Bisht',4,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Other,Network,'FedEx Services',night,ID3667964,True,3,True,'DZundra Green',3,ITCC,1
Other,Other,Telephony,'FedEx Services',afternoon,ID973921,True,3,True,'Stephen Barch',3,ITCC,1
Other,Network,Telephony,'FedEx Services',morning,ID836059,True,3,True,'Khouri Mitchell',4,ITCC,2
Other,Network,Telephony,'FedEx Ground',evening,ID3667964,True,3,True,'DZundra Green',4,ITCC,2
Other,Server,Telephony,'FedEx Services',afternoon,ID3667964,True,2,True,'DZundra Green',2,ITCC,1
FXS_EIS_GLB_ProblemMgmt,Other,Telephony,'FedEx Services',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
